Product Name,Product Price,Product ID,Product specifications
,,,
,,,
Apple iPhone 8 64GB GSM Unlocked Smartphone- Very Good condition,US $105.00,126463848413,"{'Condition': 'Very Good - Refurbished', 'Seller Notes': '“""This iPhone 8 (64GB) is in very good condition, with minimal wear. It\'s unlocked for GSM carrier\'s ... Read more\nabout the seller notes', 'Processor': '', 'Screen Size': 'Quad Core', 'Manufacturer Color': '4.7""', 'Color': 'Black', 'Memory Card Type': 'Space Gray', 'MPN': 'CompactFlash', 'Lock Status': 'MQ6V2LL/A', 'Cellular Band': 'GSM Unlocked', 'SIM Card Slot': 'GSM', 'Brand': 'Single SIM', 'Network': 'Apple', 'Model': 'GSM Unlocked, Unlocked', 'Style': 'Apple iPhone 8', 'Connectivity': 'Smartphone', 'Operating System': 'Bluetooth, NFC, Wi-Fi', 'Features': 'iOS', 'Storage Capacity': 'Camera', 'Contract': '64 GB', 'Camera Resolution': 'Without Contract', 'RAM': '12MP', 'UPC': '2GB'}"
Samsung Galaxy A03s - UNLOCKED - Android 13,US $99.99/ea,275066024489,"{'Condition': 'New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more\nabout the condition', 'Processor': '', 'Screen Size': 'Octa Core', 'Color': '6.5 in', 'Memory Card Type': 'Black', 'Lock Status': 'MicroSD', 'Model Number': 'Factory Unlocked', 'SIM Card Slot': 'SM-S135DL', 'Brand': 'Single SIM', 'Network': 'Samsung', 'Model': 'Unlocked', 'Connectivity': 'Samsung Galaxy A03s', 'Operating System': '4G LTE', 'Storage Capacity': 'Android', 'Contract': '32 GB', 'Camera Resolution': 'Without Contract', 'RAM': '13.0 MP'}"
Samsung Galaxy A50 SM-A505U 64GB+4GB RAM 25MP LTE Unlocked Smartphone-New Sealed,US $129.00,334435300533,"{'Condition': 'New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more\nabout the condition', 'Processor': '', 'Screen Size': 'Octa Core', 'Color': '6.4 in', 'Chipset Model': 'Black', 'Memory Card Type': 'Exynos 9610 (10nm)', 'Lock Status': 'microSDXC (dedicated slot)', 'Model Number': 'Factory Unlocked', 'SIM Card Slot': 'SM-A505U', 'Brand': 'Single SIM', 'Manufacturer Warranty': 'Samsung', 'Network': '1 Year', 'Model': 'Unlocked', 'Style': 'Samsung Galaxy A50 SM-A505U', 'Connectivity': 'Bar', 'Operating System': '2G, 3G, 4G, Bluetooth, GPS, LTE, NFC, Quad-Band, USB Type-C, Wi-Fi', 'Storage Capacity': 'Android', 'Contract': '64 GB', 'Camera Resolution': 'Without Contract', 'RAM': '25.0 MP', 'UPC': '4 GB'}"
"Samsung Galaxy Z Flip3 5G F711U 128GB Unlocked Phantom Black ""Brand New Sealed""",US $299.95,276465661647,"{'Condition': 'New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more\nabout the condition', 'Processor': '', 'Chipset Model': 'Octa Core', 'Color': 'Qualcomm Snapdragon 888', 'Lock Status': 'Black', 'Model Number': 'Network Unlocked', 'SIM Card Slot': 'SM-F711U', 'Brand': 'Single SIM', 'Network': 'Samsung', 'Model': 'Unlocked', 'Connectivity': 'Samsung Galaxy Z Flip3 5G', 'Style': '5G, Bluetooth, Wi-Fi', 'Operating System': 'Flip', 'Features': 'Android', 'Storage Capacity': 'Water-Resistant, AMOLED Display, Wide-Angle Camera, Ultra Wide-Angle Camera, Fingerprint Sensor, Dual Rear Cameras, eSIM, Dual Screen', 'Contract': '128 GB', 'Camera Resolution': 'Without Contract', 'RAM': '12.0 MP'}"
Unlocked Samsung Galaxy Folder G1600 Dual SIM LTE Flip SmartPhone- New Sealed,US $88.00,363763978897,"{'Condition': 'New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more\nabout the condition', 'Processor': '', 'Screen Size': 'Quad Core', 'Custom Bundle': '3.8 in', 'Color': 'No', 'Memory Card Type': 'Gold', 'Lock Status': 'MicroSD', 'Model Number': 'Factory Unlocked', 'SIM Card Slot': 'SM-G1600', 'Brand': 'Dual SIM (SIM + SIM + Memory Card)', 'Manufacturer Warranty': 'Samsung', 'Network': '1 Year', 'Model': 'Unlocked', 'Style': 'Samsung Galaxy Folder', 'Connectivity': 'Flip', 'Operating System': '2G, 3G, 4G, Bluetooth, GPS, Micro USB, Wi-Fi', 'Storage Capacity': 'Android', 'Contract': '16 GB', 'Camera Resolution': 'Without Contract', 'RAM': '8.0 MP', 'UPC': '2 GB'}"
New Sealed--BlackBerry Classic Q20 16GB+2GB RAM Unlocked LTE Qwerty Keyboard,US $105.00,166114014362,"{'Condition': 'New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more\nabout the condition', 'Processor': '', 'Screen Size': 'Dual Core', 'Chipset Model': '3.5 in', 'Memory Card Type': 'Qualcomm MSM8960 Snapdragon S4 Plus', 'Lock Status': 'MicroSD', 'Model Number': 'Factory Unlocked', 'SIM Card Slot': 'BlackBerry Classic Q20', 'Brand': 'Single SIM', 'Manufacturer Warranty': 'BlackBerry', 'Network': '1 Year', 'Model': 'Unlocked', 'Connectivity': 'BlackBerry Classic', 'Style': '2G, 3G, 4G, LTE', 'Features': 'Bar', 'Operating System': 'Bluetooth Enabled, Camera, Email, Web, GPS, Music Player, QWERTY Keyboard, Touch Screen, Video Camera, Wi-Fi Capable', 'Storage Capacity': 'BlackBerry OS', 'Country/Region of Manufacture': '2 GB', 'Contract': 'China', 'Camera Resolution': 'Without Contract', 'RAM': '8.0 MP'}"
NEW UNLOCKED SAMSUNG GALAXY S20+ PLUS 5G 128/256GB SM-G986U1 GSM+CDMA All COLORS,US $216.60/ea,315388331010,"{'Condition': 'New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more\nabout the condition', 'Processor': '', 'Screen Size': 'Octa Core', 'Lock Status': '6.7 in', 'Model Number': 'Factory Unlocked', 'SIM Card Slot': 'SM-G986U, SM-G986U1', 'Brand': 'Single SIM', 'Network': 'Samsung', 'Model': 'Unlocked', 'Connectivity': 'Samsung Galaxy S20+ 5G', 'Operating System': '2G, 3G, 4G, 4G+, 5G', 'Features': 'Android', 'Storage Capacity': '4K Video Recording', 'Contract': '256 GB', 'Camera Resolution': 'Without Contract', 'RAM': '12.0 MP'}"
Lot Of 20 Electronic Phones and Tablets - Working & For Parts or Repair,US $31.00,176411097039,"{'Condition': 'Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more\nabout the condition', 'Screen Size': '', 'Color': '4.5 in', 'SIM Card Slot': 'Multicolor', 'Brand': 'Single SIM', 'Network': 'Samsung', 'Model': 'Unlocked, Verizon, T-Mobile', 'Style': 'samsung', 'Connectivity': 'Bar', 'Operating System': '4G, Bluetooth, Wi-Fi', 'Features': 'Android', 'Storage Capacity': 'Fingerprint Sensor, Camera, Bluetooth Enabled', 'Country/Region of Manufacture': '32 GB', 'RAM': 'China'}"
